№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Платформенные скидки, %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Компенсация платёжных услуг/Комиссия за интеграцию платёжных сервисов;Размер компенсации платёжных услуг/Комиссии за интеграцию платёжных сервисов, %;Тип платежа: компенсация платёжных услуг/Комиссия за интеграцию платёжных сервисов;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма баллов, удержанных по программе лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %;Id подменного артикула;Скидка по подменному артикулу, %;Оптовая скидка для бизнеса, %
1;37523174;Наклейки для творчества;613136698;Silver&Golden sticker;sts01210т;Наклейка для телефона яблоко iphone;0;2047258074252;;Логистика;2026-04-15;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;48,67;2026-03-10;2026-05-09;;0;0;К клиенту при продаже;;;127504;Иркутская область Усолье-Сибирское улица Стопани 81;;;Электросталь;Россия;Микс;;;;48467286478;7899599034369024067.0.0;0;;0;0;0;1,8;Нет;0;0;0;0;0;0;132579683_7899599034369024067;0;0;0;FBW, (МГТ, короба);0;0;;0;;0;0
2;37523174;Наклейки для творчества;613136698;Silver&Golden sticker;sts01210т;Наклейка для телефона яблоко iphone;0;2047258074252;Продажа;Продажа;2026-04-15;2026-04-20;1;397;254;0;0;0;397;0;0;36,02;27,75;20,08;-15,94;-26,92;7,571;10,16;2,56;Компенсация платёжных услуг;-33,12;-7,29;276,68;0;0;0;;;;0;0;;;Вайлдберриз Банк;127504;Иркутская область Усолье-Сибирское улица Стопани 81;;;Электросталь;Россия;Микс;;;;48467286478;7899599034369024067.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;132579683_7899599034369024067;0;0;0;;0;0;;0;;0;0
3;0;Наклейки для техники;220316337;Silver&Golden sticker;stg34033;Наклейка металлическая на телефон волк;0;2039736940012;Возврат;Возврат;2026-04-14;2026-04-20;1;760,48;521;0;0;0;760,48;0;0;31,49;40,25;30,33;-1,16;54,59;0;20,84;2,74;Компенсация платёжных услуг;54,59;12,01;433,56;0;0;0;;;;0;0;;52896155206;Вайлдберриз Банк;304456;Челябинская область Магнитогорск Московская улица 22;;;Центральный федеральный округ МП;Россия;;;4917259232;;52896155206;5458092067999529522.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;308908025_5458092067999529522;0;0;0;;0;0;;0;;0;0
4;0;Наклейки для техники;640785102;Silver&Golden sticker;stg81133;Наклейка герб ВДВ на телефон;0;2047437428050;;Логистика;2026-04-13;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;45,91;;;;0;0;К клиенту при продаже;52816299445;;311866;Иркутская область рабочий посёлок Октябрьский улица Горького 81;;;Центральный федеральный округ МП;Россия;;;4911384259;;52816299445;eN.rf8ddb6477da644c499500b36cef7fa06.0.0;0;;0;0;0;0;Нет;0;0;0;0;0;0;rf8ddb6477da644c499500b36cef7fa06;0;0;0;FBS, (МГТ);0;0;;0;;0;0
5;0;Наклейки для техники;640785102;Silver&Golden sticker;stg81133;Наклейка герб ВДВ на телефон;0;2047437428050;Продажа;Продажа;2026-04-13;2026-04-20;1;528;373;0;0;0;528;0;0;29,36;40,25;30,33;0,97;47,15;9,333;18,2;3,45;Компенсация платёжных услуг;39,50;8,69;297,28;0;0;0;;;;0;0;;52816299445;Вайлдберриз Банк;311866;Иркутская область рабочий посёлок Октябрьский улица Горького 81;;;Центральный федеральный округ МП;Россия;;;4911384259;;52816299445;eN.rf8ddb6477da644c499500b36cef7fa06.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;rf8ddb6477da644c499500b36cef7fa06;0;0;0;;0;0;;0;;0;0
6;37523174;Наклейки для техники;220316326;Silver&Golden sticker;stg10002;Наклейка герб России металлическая на телефон;0;2039736939856;;Логистика;2026-04-15;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;49,45;2026-03-10;2026-05-09;;0;0;К клиенту при продаже;;;132805;Республика Крым Феодосия улица Чкалова 82;;;Электросталь;Россия;Микс;;;;49954080955;eBm.rad8b5d0d5e134fb6bbfc8e8d613d2707.0.0;0;;0;0;0;1,8;Нет;0;0;0;0;0;0;rad8b5d0d5e134fb6bbfc8e8d613d2707;0;0;0;FBW, (МГТ, короба);0;0;;0;;0;0
7;37523174;Наклейки для техники;220316326;Silver&Golden sticker;stg10002;Наклейка герб России металлическая на телефон;0;2039736939856;Продажа;Продажа;2026-04-15;2026-04-20;1;496;297;0;0;0;496;0;0;40,12;37,75;28,28;-11,84;-9,64;8,255;11,88;2,4;Компенсация платёжных услуг;-16,41;-3,61;296,88;0;0;0;;;;0;0;;;Вайлдберриз Банк;132805;Республика Крым Феодосия улица Чкалова 82;;;Электросталь;Россия;Микс;;;;49954080955;eBm.rad8b5d0d5e134fb6bbfc8e8d613d2707.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;rad8b5d0d5e134fb6bbfc8e8d613d2707;0;0;0;;0;0;;0;;0;0
8;27822690;Наклейки для техники;220316330;Silver&Golden sticker;stg50150;Наклейка металлическая на телефон герб СССР;0;2039736939924;;Логистика;2026-04-18;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;60,5;2025-03-22;2025-05-21;;0;0;К клиенту при отмене;;;50086569;Кировская область Киров улица 60 лет Комсомола 23к1;;;Казань;Россия;Микс;;;;31419931076;7693045787029788640.0.0;0;;0;0;0;2,2;Нет;0;0;0;0;0;0;120667395_7693045787029788640;0;0;0;FBW, (МГТ, короба);0;0;;0;;0;0
9;27822690;Наклейки для техники;220316330;Silver&Golden sticker;stg50150;Наклейка металлическая на телефон герб СССР;0;2039736939924;;Логистика;2026-04-18;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;1;23;2025-03-22;2025-05-21;;0;0;От клиента при отмене;;;50086569;Кировская область Киров улица 60 лет Комсомола 23к1;;;Казань;Россия;Микс;;;;31419931076;7693045787029788640.0.0;0;;0;0;0;2,2;Нет;0;0;0;0;0;0;120667395_7693045787029788640;0;0;0;FBW, (МГТ, короба);0;0;;0;;0;0
10;0;Наклейки интерьерные;319506008;Silver&Golden sticker;stg80057;Наклейка соль сахар на банки;0;2042623020179;;Логистика;2026-04-16;2026-04-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;45,83;;;;0;0;К клиенту при продаже;52977223239;;204841;Москва Москва Нагатинская набережная 18к1;;;Центральный федеральный округ МП;Россия;;;4924743980;;52977223239;ef.i49684f8a4fbe968fdbeed3453d329a22.0.0;0;;0;0;0;0;Нет;0;0;0;0;0;0;i49684f8a4fbe968fdbeed3453d329a22;0;0;0;FBS, (МГТ);0;0;;0;;0;0
